City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,date
287,Kharan,28.5833,65.4167,55.6,37,3,6.17,PK,1670540112
288,Leshukonskoye,64.8989,45.7622,3.04,96,100,4.74,RU,1670540113
289,Rio Grande,-32.035,-52.0986,80.71,83,0,12.24,BR,1670540113
290,Saskylakh,71.9167,114.0833,-6.47,97,100,12.15,RU,1670540114
291,Tezu,27.9167,96.1667,59.7,47,0,3.69,IN,1670540114
292,Boyolangu,-8.1181,111.8935,75.54,90,98,2.06,ID,1670540114
293,Raymondville,26.4815,-97.7831,82.51,46,0,13.47,US,1670540115
294,Bilma,18.6853,12.9164,66.88,19,15,4.94,NE,1670540116
295,Gimli,50.6336,-96.9907,10.42,72,50,6.91,CA,1670540116
296,Asbestovskiy,57.7557,61.3967,10.56,73,46,12.82,RU,1670540116
297,Mount Isa,-20.7333,139.5,87.57,12,1,14.97,AU,1670540117
298,Coari,-4.085,-63.1414,74.77,96,24,3.51,BR,1670539989
299,Marawi,7.9986,124.2928,69.87,94,100,0.34,PH,1670540118
300,Castro,-24.7911,-50.0119,68.77,82,47,4.21,BR,1670540118
301,Morro Bay,35.3658,-120.8499,57.99,84,100,1.99,US,1670540119
302,Komsomolskiy,40.4272,71.7189,30.92,93,100,6.91,UZ,1670540119
303,Itum-Kale,42.7356,45.5758,37.04,55,38,5.55,RU,1670540120
304,Nanortalik,60.1432,-45.2371,24.67,76,85,6.78,GL,1670540120
305,Ponta Do Sol,32.6667,-17.1,68.63,81,96,17.56,PT,1670540121
306,Meulaboh,4.1363,96.1285,74.97,87,100,6.13,ID,1670540121
307,Nanpiao,41.0982,120.7479,24.69,39,0,2.17,CN,1670540122
308,Provo,40.2338,-111.6585,37.63,78,17,0.72,US,1670539870
309,Katsuura,35.1333,140.3,53.38,77,99,10.2,JP,1670540123
310,Pangkalanbuun,-2.6833,111.6167,74.21,97,100,0.87,ID,1670540123
311,Ambulu,-8.345,113.6058,76.91,87,74,3.24,ID,1670540124
312,Dolgoye,52.8,37.2167,24.12,97,100,6.71,RU,1670540124
313,Vestmannaeyjar,63.4427,-20.2734,29.46,58,10,16.91,IS,1670540125
314,Ambon,-3.6954,128.1814,78.24,15,20,4.61,ID,1670540125
315,Orlik,52.5178,99.825,-18.06,94,38,3.02,RU,1670540126
316,Colares,38.7992,-9.4469,59.76,91,92,21.0,PT,1670540126
317,Liverpool,53.4106,-2.9779,34.43,86,40,5.75,GB,1670540127
318,Shahreza,32.0339,51.8794,38.37,71,47,3.31,IR,1670540127
319,Nalut,30.3333,10.85,62.8,27,0,9.35,LY,1670540128
320,Ubatuba,-23.4339,-45.0711,73.04,87,8,2.3,BR,1670540128
321,Voh,-20.9667,164.7,85.53,67,3,2.15,NC,1670540129
322,Havre-Saint-Pierre,50.2334,-63.5986,37.76,100,100,8.05,CA,1670540129
323,Kieta,-6.2167,155.6333,79.77,86,100,6.33,PG,1670540129
324,Lahij,13.1667,44.5833,69.17,84,57,1.39,YE,1670540130
325,Saint-Joseph,-21.3667,55.6167,73.78,83,14,12.15,RE,1670540130
326,Port Hueneme,34.1478,-119.1951,64.53,64,8,5.01,US,1670540131
327,Chokwe,-24.5333,32.9833,73.92,89,7,6.06,MZ,1670540131
328,Nelson Bay,-32.7167,152.15,67.1,64,87,10.0,AU,1670540132
329,Bay Roberts,47.5999,-53.2648,40.51,95,5,5.01,CA,1670540132
330,Comodoro Rivadavia,-45.8667,-67.5,75.06,17,0,34.52,AR,1670540133
331,Talara,-4.5772,-81.2719,75.96,60,0,17.27,PE,1670540133
332,Cabo San Lucas,22.8909,-109.9124,83.61,73,72,1.99,MX,1670540134
333,Half Moon Bay,37.4636,-122.4286,58.05,68,75,16.11,US,1670539882
334,Canavieiras,-15.675,-38.9472,75.0,95,100,6.8,BR,1670540134
335,Georgetown,5.4112,100.3354,77.95,91,20,5.99,MY,1670539899
336,Urubicha,-15.3833,-62.95,84.67,53,81,3.62,BO,1670540135
337,Flinders,-34.5833,150.8552,67.05,50,12,5.99,AU,1670540135
338,Byron Bay,-28.65,153.6167,66.79,78,100,11.48,AU,1670540136
339,Saldanha,-33.0117,17.9442,66.58,88,51,9.17,ZA,1670540136
340,Williston,48.147,-103.618,25.54,93,14,5.01,US,1670540136
341,Soloneshnoye,51.6544,84.3197,-2.61,84,74,5.75,RU,1670540137
342,Salalah,17.0151,54.0924,72.5,47,41,7.18,OM,1670540137
343,Tevaitoa,-16.7833,-151.5,80.76,71,91,12.75,PF,1670540137
344,Dingle,10.9995,122.6711,74.82,95,100,5.64,PH,1670540138
345,Manbij,36.5281,37.9549,51.71,65,98,5.82,SY,1670540138
346,Ouadda,8.0777,22.4007,68.58,31,92,4.72,CF,1670540138
347,Delta Del Tigre,-34.7633,-56.3853,88.21,45,0,4.61,UY,1670540139
348,Usinsk,65.9939,57.5281,-15.97,94,47,6.93,RU,1670540139
349,Pacific Grove,36.6177,-121.9166,57.07,75,100,11.99,US,1670540127
350,Matay,28.419,30.7792,61.47,43,50,1.5,EG,1670540140
351,Bolu,40.6667,31.5833,41.81,75,66,4.94,TR,1670540141
352,Kamenka,51.3223,42.7678,20.97,93,100,16.87,RU,1670540141
353,Tingi,-11.3,35.0333,65.08,81,69,3.24,TZ,1670540141
354,Beisfjord,68.3751,17.5988,32.05,84,100,7.9,NO,1670540142
355,Kavaratti,10.5669,72.642,82.09,67,99,12.48,IN,1670540142
356,Grimshaw,56.1834,-117.6027,19.02,86,100,5.75,CA,1670540142
357,Port Moresby,-9.4431,147.1797,78.22,94,40,5.75,PG,1670540143
358,Eureka,40.8021,-124.1637,47.25,95,100,1.99,US,1670540033
359,Guangyuan,32.442,105.823,44.74,75,87,1.52,CN,1670540143
360,Christchurch,-43.5333,172.6333,66.94,72,75,11.5,NZ,1670540135
361,Wakkanai,45.4094,141.6739,30.94,61,100,16.37,JP,1670540144
362,Yar-Sale,66.8333,70.8333,-22.16,94,80,14.2,RU,1670540144
363,Sao Mateus,-18.7161,-39.8589,72.66,96,42,7.02,BR,1670539870
364,Namibe,-15.1961,12.1522,69.53,77,65,4.74,AO,1670540145
365,Northam,51.0333,-4.2167,33.39,82,63,5.14,GB,1670540145
366,Buin,-33.7333,-70.75,88.02,34,0,9.75,CL,1670540146
367,Lere,10.387,8.5726,65.28,27,1,6.22,NG,1670540146
368,Valparaiso,-33.0393,-71.6273,75.43,85,0,13.8,CL,1670539895
369,Moron,-34.6534,-58.6198,93.09,61,11,3.09,AR,1670540147
370,Toguchin,55.2353,84.3858,-8.77,96,24,5.01,RU,1670540147
371,Serenje,-13.2325,30.2352,62.24,92,74,3.22,ZM,1670540147
372,Ostrovnoy,68.0531,39.5131,25.11,91,100,28.99,RU,1670540148
373,Vestmanna,62.1564,-7.1664,36.52,81,75,29.93,FO,1670540148
374,Kenai,60.5544,-151.2583,15.13,81,24,2.98,US,1670540149
375,Sao Filipe,14.8961,-24.4956,76.35,76,3,5.5,CV,1670540149
376,Acapulco,16.8634,-99.8901,82.15,69,0,7.63,MX,1670540150
377,Rosetta,31.4044,30.4164,61.07,61,89,9.44,EG,1670540150
378,Ahuimanu,21.4447,-157.8378,81.61,70,82,8.99,US,1670540150
379,Batemans Bay,-35.7167,150.1833,61.11,39,8,4.92,AU,1670540151
380,Vila Franca Do Campo,37.7167,-25.4333,59.41,85,59,6.8,PT,1670540151
381,Gibraleon,37.3763,-6.969,57.02,85,41,11.92,ES,1670540152
382,Longfeng,46.55,125.1167,3.79,91,55,6.13,CN,1670540152
383,Banyo,6.75,11.8167,66.63,31,80,2.35,CM,1670540153
384,Mizan Teferi,6.9833,35.5833,60.57,89,80,2.55,ET,1670540153
385,Taoudenni,22.6783,-3.9836,79.2,15,27,7.74,ML,1670540153
386,Hambantota,6.1241,81.1185,75.04,69,100,15.08,LK,1670540154
387,Bandundu,-3.3167,17.3667,68.83,94,100,2.59,CD,1670540154
388,Tigre,-34.426,-58.5796,93.34,58,0,8.05,AR,1670540154
389,Cap Malheureux,-19.9842,57.6142,76.46,77,15,1.99,MU,1670540155
390,Barinas,8.6226,-70.2075,75.24,69,73,4.61,VE,1670539978
391,Namie,37.4833,141.0,40.71,80,9,3.51,JP,1670540155
392,Chaykovskiy,56.7686,54.1148,-1.66,92,43,5.91,RU,1670540156
393,Charters Towers,-20.1,146.2667,88.07,37,1,8.43,AU,1670540156
394,Arifwala,30.294,73.0735,61.11,31,0,3.89,PK,1670540156
395,Fiumicino,41.7675,12.2291,60.35,83,0,10.36,IT,1670540157
396,Goba,7.0167,39.9833,48.0,73,88,4.36,ET,1670540157
397,Rio Gallegos,-51.6226,-69.2181,57.25,58,40,16.11,AR,1670540158
398,Rabak,13.1809,32.74,76.89,37,16,12.24,SD,1670540158
399,Pevek,69.7008,170.3133,-17.68,95,86,3.09,RU,1670540159
400,Magan,39.9683,-3.931,55.53,81,61,10.78,ES,1670540159
401,Hurghada,27.2574,33.8129,64.44,32,0,5.75,EG,1670540159
402,Sitka,57.0531,-135.33,33.69,86,75,18.41,US,1670540160
403,San Patricio,28.017,-97.5169,79.54,71,0,11.34,US,1670540160
404,Esmeraldas,-19.7625,-44.3139,81.64,81,43,1.54,BR,1670540161
405,Bathsheba,13.2167,-59.5167,77.05,83,84,10.42,BB,1670540161
406,Waw,7.7029,27.9953,74.77,32,76,2.93,SS,1670540162
407,Nuuk,64.1835,-51.7216,35.58,62,100,29.86,GL,1670539953
408,Tuy Hoa,13.0833,109.3,74.97,88,99,14.99,VN,1670540163
409,Curvelo,-18.7564,-44.4308,74.86,75,50,3.74,BR,1670540164
410,Pucara,-15.9803,-71.4606,33.93,93,100,6.17,PE,1670540167
411,Oranjemund,-28.55,16.4333,62.35,94,8,0.38,NA,1670540167
412,Padang,-0.9492,100.3543,75.56,88,100,2.95,ID,1670540019
413,Port Augusta,-32.5,137.7667,72.03,29,95,8.25,AU,1670540168
414,Souillac,-20.5167,57.5167,77.38,78,75,10.36,MU,1670540168
415,Khani,41.9563,42.9566,38.77,75,98,4.74,GE,1670540169
416,Kampot,10.6167,104.1833,78.85,88,100,7.67,KH,1670540170
417,Port Lincoln,-34.7333,135.8667,62.35,64,79,19.37,AU,1670540170
418,Pochutla,15.7432,-96.4661,85.82,61,0,5.88,MX,1670540171
419,Gillette,44.2911,-105.5022,36.81,51,60,5.79,US,1670540171
420,Necochea,-38.5473,-58.7368,66.69,52,0,5.37,AR,1670540171
421,Mackay,-21.15,149.2,85.68,69,6,11.83,AU,1670540172
422,Baoma,31.4859,106.1128,49.53,69,91,2.39,CN,1670540172
423,Paraiso,9.8383,-83.8656,70.66,83,28,3.65,CR,1670540172
424,Sayyan,15.1718,44.3244,49.37,32,50,2.82,YE,1670540173
425,Corning,42.1428,-77.0547,40.5,78,100,7.11,US,1670540173
426,Kaeo,-35.1,173.7833,69.28,93,100,5.19,NZ,1670540174
427,Aloleng,16.1307,119.7824,79.2,85,100,5.7,PH,1670540174
428,Sao Joao Da Barra,-21.6403,-41.0511,75.29,89,16,5.88,BR,1670540174
429,Dauriya,49.9333,116.8667,2.79,93,100,10.69,RU,1670540175
430,Palmer,42.1584,-72.3287,44.46,68,45,6.93,US,1670540106
431,Brae,60.3964,-1.353,37.85,92,100,16.11,GB,1670540176
432,Magangue,9.242,-74.7547,75.56,72,62,4.07,CO,1670540176
433,Helena,46.5927,-112.0361,29.17,62,0,5.75,US,1670539940
434,Hasaki,35.7333,140.8333,43.21,73,100,11.56,JP,1670540177
435,Kuito,-12.3833,16.9333,57.24,92,100,4.32,AO,1670540177
436,Trairi,-3.2778,-39.2689,78.98,77,95,9.57,BR,1670540158
437,Russell,32.3502,-85.1999,78.08,78,33,4.12,US,1670540178
438,Neuquen,-38.9516,-68.0591,85.89,28,0,14.97,AR,1670540086
439,Mananara,-16.1667,49.7667,71.62,93,16,4.81,MG,1670540178
440,Benguela,-12.5763,13.4055,77.43,80,100,2.84,AO,1670540179
441,Srednekolymsk,67.45,153.6833,-42.27,99,74,4.05,RU,1670540179
442,Batagay-Alyta,67.8006,130.4114,-18.31,99,100,1.48,RU,1670540180
443,Pacasmayo,-7.4006,-79.5714,66.99,76,33,13.06,PE,1670540180
444,Saravan,39.7196,45.6483,25.29,78,20,5.57,AM,1670540181
445,Minab,27.1467,57.0801,68.32,83,0,0.0,IR,1670540181
446,Kargil,34.5667,76.1,23.54,93,99,5.5,IN,1670540182
447,Marsaxlokk,35.8419,14.5431,65.08,88,20,9.22,MT,1670540182
448,Puerto Colombia,10.9878,-74.9547,80.69,79,32,21.81,CO,1670540183
449,Ust-Tsilma,65.441,52.1498,9.79,90,100,8.55,RU,1670540183
450,Roebourne,-20.7833,117.1333,81.81,39,0,13.18,AU,1670540184
451,La Ronge,55.1001,-105.2842,-3.75,71,75,10.36,CA,1670540184
452,Oussouye,12.485,-16.5469,77.18,82,0,5.55,SN,1670540184
453,Hit,33.6416,42.8251,56.88,61,11,2.93,IQ,1670540185
454,Tinskoy,56.1525,96.9161,11.3,69,100,12.91,RU,1670540185
455,Buchanan,5.8808,-10.0467,78.06,87,83,6.91,LR,1670540186
456,Margate,51.3813,1.3862,34.7,82,14,3.0,GB,1670540186
457,Ewo,-0.8725,14.8206,68.92,93,71,3.87,CG,1670540187
458,Oneonta,42.4529,-75.0638,40.3,92,93,9.6,US,1670540187
459,Japura,-0.3167,102.35,72.37,99,97,2.37,ID,1670540188
460,Wanning,18.8003,110.3967,70.07,82,88,8.99,CN,1670540188
461,Goderich,43.7501,-81.7165,33.91,80,63,6.91,CA,1670540189
462,Damaturu,11.747,11.9608,66.06,23,3,8.9,NG,1670540189
463,Colac,-38.3333,143.5833,58.17,50,85,6.06,AU,1670540037
464,Presidencia Roque Saenz Pena,-26.7852,-60.4388,93.04,36,94,9.57,AR,1670540190
465,Mandera,3.9366,41.867,81.63,63,74,16.75,KE,1670540190
466,Kayerkan,69.3497,87.7602,-11.72,99,92,1.63,RU,1670540191
467,Rochegda,62.8,43.25,16.18,93,100,7.85,RU,1670540191
468,Anori,-3.7728,-61.6442,77.2,89,71,2.35,BR,1670540192
469,Howard Springs,-12.497,131.047,87.82,61,86,3.83,AU,1670540192
470,Krasnoarmeysk,51.0239,45.6969,14.0,76,96,12.08,RU,1670540193
471,Lakes Entrance,-37.8811,147.981,57.16,65,64,8.21,AU,1670540193
472,Maraa,-1.8333,-65.3667,74.1,97,88,2.37,BR,1670540193
473,Mzimba,-11.9,33.6,65.68,80,86,8.57,MW,1670540194
474,Providencia,28.7167,-111.5833,77.05,38,36,13.91,MX,1670540194
475,Tairua,-37.0167,175.85,65.35,97,100,14.88,NZ,1670540194
476,Port Blair,11.6667,92.75,79.07,80,69,4.97,IN,1670540195
477,Rawson,-43.3002,-65.1023,78.46,24,53,25.95,AR,1670540018
478,Suntar,62.1444,117.6319,-39.89,100,70,1.21,RU,1670540195
479,Qaqortoq,60.7167,-46.0333,22.01,78,100,8.23,GL,1670540195
480,Matata,-37.8833,176.75,64.58,97,100,17.11,NZ,1670540196
481,Mecca,21.4267,39.8261,73.04,67,13,7.11,SA,1670540196
482,Hernani,43.2662,-1.9762,54.72,87,0,1.99,ES,1670540196
483,Batagay,67.6333,134.6333,-28.14,99,99,2.95,RU,1670540197
484,Rayachoti,14.05,78.75,69.01,55,100,5.88,IN,1670540197
485,Mehamn,71.0357,27.8492,30.11,86,100,18.41,NO,1670540198
486,Kanalia,39.5,22.8833,52.99,100,62,3.4,GR,1670540198
487,Mbaiki,3.8678,17.9892,69.62,92,99,1.95,CF,1670540198
488,Hofn,64.2539,-15.2082,30.43,58,54,23.55,IS,1670540199
489,Pankrushikha,53.8319,80.3406,-10.03,98,18,4.36,RU,1670540199
490,Piltene,57.2243,21.6744,28.35,100,0,3.44,LV,1670540179
491,Redlands,34.0556,-117.1825,63.72,41,0,6.91,US,1670539915
492,Port-Gentil,-0.7193,8.7815,80.56,89,20,2.3,GA,1670540200
493,Lensk,60.7253,114.9278,6.93,94,100,10.07,RU,1670540201
494,Yambio,4.5721,28.3955,70.75,56,100,3.06,SS,1670540201
495,Ezhou,30.4,114.8333,50.77,71,98,4.14,CN,1670540201
496,Takhatgarh,25.3333,73.0,57.87,32,0,2.42,IN,1670540202
497,Wilmington Island,32.0036,-80.9737,73.04,74,67,3.96,US,1670540202
498,Catalina,32.5056,-110.9211,64.42,49,59,1.01,US,1670540203
499,Novomalorossiyskaya,45.6348,39.8948,37.44,71,100,11.1,RU,1670540203
500,San Cristobal,7.7669,-72.225,71.78,88,73,2.66,VE,1670540074
501,Fairbanks,64.8378,-147.7164,17.6,88,100,6.91,US,1670539951
502,Morinville,53.8001,-113.652,22.59,73,100,8.05,CA,1670540204
503,Saint Anthony,45.0205,-93.218,28.33,75,75,5.75,US,1670540204
504,Shelburne,44.0787,-80.2041,28.9,93,53,5.57,CA,1670539921
505,Zhengjiatun,43.5064,123.5064,16.57,63,3,9.17,CN,1670540205
506,Riyadh,24.6877,46.7219,64.54,79,24,7.54,SA,1670539946
507,Mattru,7.6244,-11.8332,75.43,91,10,1.81,SL,1670540205
508,Kholtoson,50.2981,103.3097,-7.83,97,95,4.25,RU,1670540205
509,Miraflores,19.2167,-98.8083,70.03,32,0,3.91,MX,1670540206
510,Sieradz,51.5958,18.7302,32.18,95,69,8.61,PL,1670540206
511,Mountrath,52.9989,-7.4728,26.87,96,8,3.36,IE,1670540207
512,Simbahan,6.3032,120.5836,82.2,74,94,8.9,PH,1670540207
513,Axim,4.8699,-2.2405,78.73,84,5,7.58,GH,1670540208
514,Onalaska,43.8844,-91.2351,31.35,86,40,1.01,US,1670540208
515,Noumea,-22.2763,166.4572,85.98,99,2,5.17,NC,1670540209
516,Marzuq,14.4,46.4667,61.09,31,37,2.8,YE,1670540209
517,Auxerre,47.8,3.5667,27.63,90,10,5.7,FR,1670540024
518,Castro Marim,37.2207,-7.4435,57.29,86,36,15.26,PT,1670540211
519,Portobelo,9.55,-79.65,77.95,81,23,11.83,PA,1670540211
520,Xian,34.2583,108.9286,32.81,60,96,3.62,CN,1670540212
521,Sorong,-0.8833,131.25,78.89,85,65,5.26,ID,1670540212
522,Nouakchott,18.0858,-15.9785,73.33,54,15,12.53,MR,1670540213
523,Pingzhuang,42.0372,119.2889,17.31,46,0,3.15,CN,1670540213
524,Lokosovo,61.1333,74.8167,10.45,93,100,11.97,RU,1670540214
525,Kralendijk,12.15,-68.2667,79.9,68,46,12.93,BQ,1670540214
526,Fort Portal,0.6617,30.2748,59.5,99,97,1.83,UG,1670540215
527,Gonda,27.1333,81.9333,56.79,55,0,4.18,IN,1670540215
528,Moroni,-11.7022,43.2551,77.61,81,3,3.89,KM,1670540215
529,Tucurui,-3.7661,-49.6725,79.79,69,85,3.36,BR,1670540216
530,Berlevag,70.8578,29.0864,30.15,55,75,27.63,NO,1670540216
531,Bouca,6.5105,18.2733,69.76,34,49,0.67,CF,1670540217
532,Mionica,44.8672,18.4631,43.48,92,58,2.1,BA,1670540217
533,Rouvroy,50.3925,2.904,30.88,84,40,4.21,FR,1670540217
534,Otradnoye,59.7775,30.8181,30.25,91,100,10.09,RU,1670540218
535,Finschhafen,-6.6024,147.8681,82.76,75,100,4.63,PG,1670540218
536,Anahuac,27.2333,-100.15,80.11,52,9,7.36,MX,1670540219
537,Adrar,20.5022,-10.0711,76.66,17,39,7.47,MR,1670540219
538,Cururupu,-1.8283,-44.8683,76.17,89,96,3.29,BR,1670540219
539,Masterton,-40.9597,175.6575,59.88,92,100,8.12,NZ,1670540220
540,Roald,62.5833,6.1333,32.76,74,0,8.05,NO,1670540220
541,Mairana,-18.1167,-63.9333,66.7,72,9,5.06,BO,1670540221
542,Dauphin,51.1494,-100.0502,10.54,79,100,11.5,CA,1670540221
543,Altamira,-3.2033,-52.2064,79.47,60,66,2.71,BR,1670540222
544,Port-Cartier,50.0334,-66.8654,34.02,75,19,13.76,CA,1670539974
545,Kermanshah,34.3142,47.065,31.1,64,0,0.0,IR,1670540223
546,Turinskaya Sloboda,57.6232,64.3858,10.76,87,82,9.37,RU,1670540224
547,Najran,17.4924,44.1277,59.65,35,5,2.19,SA,1670540225
548,Meget,52.415,104.0494,9.36,98,100,3.42,RU,1670540225
549,Sioux Lookout,50.1001,-91.917,10.47,79,75,2.3,CA,1670540226
550,Sao Francisco De Assis,-29.5503,-55.1311,87.31,26,0,7.29,BR,1670540226
551,Omboue,-1.5746,9.2618,75.94,87,33,4.5,GA,1670540227
552,Toora-Khem,52.4675,96.11,-23.98,100,42,0.81,RU,1670540228
553,Asau,46.4333,26.4,34.72,88,100,2.66,RO,1670540229
554,Maragogi,-9.0122,-35.2225,77.47,81,86,9.51,BR,1670540229
555,Wewak,-3.5534,143.6268,78.1,87,100,3.56,PG,1670540230
556,Mana,5.6592,-53.7767,77.83,87,94,8.14,GF,1670540230
557,Shingu,33.7333,135.9833,46.65,66,5,4.52,JP,1670540230
558,Perth,-31.9333,115.8333,65.66,70,75,8.05,AU,1670540231
559,Nongstoin,25.5167,91.2667,48.04,28,38,4.0,IN,1670540231
560,Kutulik,53.3508,102.7839,7.09,97,99,3.89,RU,1670540232
561,Bandarbeyla,9.4942,50.8122,77.22,73,95,18.28,SO,1670540232
562,Gouyave,12.1646,-61.7296,79.57,69,20,11.5,GD,1670540233
563,Aykhal,66.0,111.5,-18.58,94,99,4.56,RU,1670540233
564,Ati,13.2154,18.3353,69.51,19,58,9.64,TD,1670540234
565,Nardaran,40.5561,50.0056,40.64,70,100,6.91,AZ,1670540234
566,Semey,50.4111,80.2275,1.49,89,55,6.87,KZ,1670540235
567,Kirov,58.5966,49.6601,9.59,91,45,9.24,RU,1670540236
568,Novoselytsya,48.2193,26.2653,37.58,93,84,5.28,UA,1670540236
569,Sri Aman,1.2376,111.4621,75.25,94,100,0.0,MY,1670540237
570,Harper,4.375,-7.7169,78.71,82,14,6.38,LR,1670540237
571,Guadalupe Victoria,32.2869,-115.105,66.88,19,5,6.67,MX,1670540237
572,Bacolod,10.6667,122.95,76.91,92,100,6.31,PH,1670540238
573,Ust-Maya,60.4167,134.5333,-28.43,98,98,2.3,RU,1670540238
574,Port Hardy,50.6996,-127.4199,39.38,87,75,8.05,CA,1670540239
575,Gardabani,41.4605,45.0928,37.49,87,45,0.94,GE,1670540239
